<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
05/10/18,114510,114520,114440,114500
05/10/18,114490,114520,114440,114490
05/10/18,114500,114530,114470,114480
05/10/18,114470,114520,114470,114480
05/10/18,114470,114500,114400,114440
05/10/18,114440,114500,114430,114490
05/10/18,114480,114480,114440,114450
05/10/18,114450,114480,114430,114480
05/10/18,114490,114530,114430,114480
05/10/18,114470,114690,114460,114670
05/10/18,114670,114670,114600,114610
05/10/18,114630,114690,114610,114660
05/10/18,114670,114680,114610,114610
05/10/18,114620,114630,114570,114600
05/10/18,114600,114720,114600,114690
05/10/18,114700,114810,114690,114790
05/10/18,114780,114850,114750,114850
05/10/18,114850,114900,114770,114870
05/10/18,114880,114960,114860,114880
05/10/18,114890,114940,114850,114930
05/10/18,114930,114970,114900,114900
05/10/18,114900,114960,114860,114950
05/10/18,114960,115000,114940,114950
05/10/18,114960,114960,114860,114900
05/10/18,114890,114900,114810,114830
05/10/18,114830,114890,114800,114880
05/10/18,114880,114970,114860,114970
05/10/18,114970,115090,114950,114950
05/10/18,114950,114970,114860,114880
05/10/18,114860,114990,114860,114960
05/10/18,114960,115000,114940,114960
05/10/18,114970,114990,114920,114920
05/10/18,114920,114960,114880,114910
05/10/18,114920,114930,114780,114780
05/10/18,114780,114820,114700,114800
05/10/18,114800,114910,114800,114910
05/10/18,114890,115090,114880,115060
05/10/18,115060,115110,114970,115110
05/10/18,115120,115170,115070,115120
05/10/18,115110,115180,115060,115170
05/10/18,115170,115280,115150,115190
05/10/18,115190,115190,115150,115180
05/10/18,115180,115180,115100,115120
05/10/18,115110,115170,115060,115120
05/10/18,115130,115170,115090,115130
05/10/18,115130,115130,115030,115050
05/10/18,115060,115100,115040,115100
05/10/18,115100,115140,115090,115120
05/10/18,115110,115140,115070,115110
05/10/18,115130,115130,115060,115130
05/10/18,115130,115170,115120,115150
05/10/18,115160,115180,115100,115160
05/10/18,115170,115200,115080,115080
05/10/18,115090,115190,115060,115120
05/10/18,115120,115130,115040,115040
05/10/18,115040,115050,114860,114910
05/10/18,114920,114990,114890,114960
05/10/18,114970,115000,114930,114970
05/10/18,114970,114990,114890,114930
05/10/18,114940,114960,114830,114890
05/10/18,114870,114910,114840,114860
05/10/18,114850,114880,114780,114780
05/10/18,114800,114800,114360,114370
05/10/18,114370,114630,114340,114500
05/10/18,114500,114670,114490,114610
05/10/18,114600,114690,114590,114660
05/10/18,114650,114700,114570,114670
05/10/18,114660,114670,114610,114670
05/10/18,114670,114700,114640,114650
05/10/18,114640,114950,114630,114840
05/10/18,114830,114930,114830,114900
05/10/18,114900,114920,114850,114880
05/10/18,114880,114930,114810,114910
05/10/18,114910,114950,114870,114870
05/10/18,114870,114900,114830,114850
05/10/18,114850,114870,114800,114840
05/10/18,114820,114820,114690,114740
05/10/18,114740,114740,114640,114700
05/10/18,114700,114780,114700,114760
05/10/18,114760,114790,114710,114730
05/10/18,114740,114770,114650,114720
05/10/18,114730,114730,114570,114600
05/10/18,114600,114630,114570,114600
05/10/18,114600,114650,114580,114620
05/10/18,114630,114680,114610,114640
05/10/18,114640,114640,114540,114570
05/10/18,114580,114580,114510,114530
05/10/18,114530,114550,114500,114550
05/10/18,114530,114580,114500,114560
05/10/18,114570,114570,114500,114520
05/10/18,114510,114640,114460,114590
05/10/18,114590,114600,114560,114600
05/10/18,114590,114640,114580,114640
05/10/18,114650,114740,114630,114730
05/10/18,114720,114760,114700,114710
05/10/18,114720,114750,114720,114730
05/10/18,114730,114770,114710,114710
05/10/18,114710,114730,114680,114720
05/10/18,114710,114770,114700,114770
05/10/18,114760,114780,114720,114750
05/10/18,114750,114760,114670,114710
05/10/18,114720,114810,114720,114760
05/10/18,114770,114800,114770,114780
05/10/18,114790,114830,114730,114750
05/10/18,114750,114780,114660,114730
05/10/18,114720,114730,114670,114710
05/10/18,114700,114760,114680,114750
05/10/18,114740,114750,114700,114730
05/10/18,114750,114760,114710,114710
05/10/18,114710,114720,114680,114720
05/10/18,114720,114790,114720,114780
05/10/18,114790,114800,114760,114760
05/10/18,114750,114750,114690,114740
05/10/18,114740,114820,114720,114790
05/10/18,114790,114800,114720,114740
05/10/18,114740,114760,114700,114700
05/10/18,114700,114760,114700,114740
05/10/18,114750,114770,114720,114730
05/10/18,114750,114800,114730,114790
05/10/18,114800,114800,114780,114800
05/10/18,114790,114880,114790,114820
05/10/18,114830,114880,114810,114840
05/10/18,114830,114930,114830,114920
05/10/18,114920,115040,114900,114910
05/10/18,114890,114960,114880,114930
05/10/18,114920,114920,114860,114860
05/10/18,114860,114880,114810,114830
05/10/18,114830,114840,114720,114720
05/10/18,114730,114880,114730,114870
05/10/18,114850,114890,114740,114740
05/10/18,114750,114760,114670,114670
05/10/18,114680,114690,114520,114600
05/10/18,114610,114650,114570,114640
05/10/18,114640,114660,114570,114580
05/10/18,114580,114750,114580,114740
05/10/18,114730,114740,114700,114720
05/10/18,114720,114790,114720,114790
05/10/18,114780,114800,114720,114740
05/10/18,114740,114780,114740,114770
05/10/18,114760,114850,114760,114820
05/10/18,114820,114830,114790,114830
05/10/18,114830,114920,114830,114890
05/10/18,114890,114930,114860,114930
05/10/18,114910,114910,114790,114790
05/10/18,114810,114860,114790,114860
05/10/18,114860,114880,114820,114850
05/10/18,114860,114860,114750,114760
05/10/18,114760,114790,114720,114740
05/10/18,114760,114790,114740,114780
05/10/18,114790,114830,114790,114810
05/10/18,114820,114930,114820,114890
05/10/18,114900,114950,114890,114890
05/10/18,114890,114910,114860,114900
05/10/18,114890,114970,114880,114950
05/10/18,114930,115020,114930,115010
05/10/18,115010,115160,115010,115130
05/10/18,115140,115190,115130,115150
05/10/18,115150,115180,115080,115120
05/10/18,115130,115150,115070,115080
05/10/18,115090,115130,115070,115080
05/10/18,115070,115080,114990,115010
05/10/18,115000,115060,114970,115020
05/10/18,115020,115040,115010,115010
05/10/18,115010,115030,114980,114980
05/10/18,114980,115060,114980,115040
05/10/18,115040,115190,115040,115180
05/10/18,115180,115280,115170,115260
05/10/18,115260,115380,115250,115300
05/10/18,115310,115360,115270,115280
05/10/18,115270,115300,115220,115230
05/10/18,115240,115280,115210,115230
05/10/18,115220,115270,115220,115250
05/10/18,115240,115350,115220,115340
05/10/18,115340,115440,115330,115430
05/10/18,115420,115440,115310,115350
05/10/18,115350,115360,115320,115340
05/10/18,115350,115380,115320,115380
05/10/18,115370,115430,115350,115410
05/10/18,115410,115480,115410,115440
05/10/18,115450,115560,115450,115540
05/10/18,115540,115550,115470,115510
05/10/18,115500,115530,115490,115500
05/10/18,115510,115550,115490,115520
05/10/18,115520,115760,115510,115690
05/10/18,115680,115730,115440,115490
05/10/18,115490,115610,115490,115520
05/10/18,115530,115550,115460,115490
05/10/18,115490,115500,115330,115400
05/10/18,115410,115500,115410,115450
05/10/18,115440,115510,115430,115490
05/10/18,115480,115510,115450,115470
05/10/18,115470,115480,115350,115370
05/10/18,115370,115380,115270,115300
05/10/18,115300,115330,115270,115310
05/10/18,115300,115400,115290,115400
05/10/18,115380,115540,115360,115530
05/10/18,115540,115580,115430,115430
05/10/18,115430,115450,115370,115380
05/10/18,115380,115450,115360,115430
05/10/18,115430,115490,115380,115440
05/10/18,115440,115460,115380,115400
05/10/18,115400,115420,115360,115380
05/10/18,115370,115430,115370,115400
05/10/18,115400,115460,115390,115450
05/10/18,115440,115480,115350,115350
05/10/18,115350,115390,115310,115360
05/10/18,115350,115410,115350,115400
05/10/18,115400,115460,115330,115380
05/10/18,115370,115400,115320,115340
05/10/18,115320,115350,115160,115190
05/10/18,115200,115210,115190,115200
05/10/18,115190,115240,115180,115240
05/10/18,115240,115240,115170,115210
05/10/18,115200,115260,115170,115230
05/10/18,115230,115670,115200,115640
05/10/18,115640,115640,115520,115570
05/10/18,115560,115640,115540,115540
05/10/18,115540,115540,115270,115280
05/10/18,115280,115300,115120,115120
05/10/18,115140,115360,115120,115260
05/10/18,115250,115300,115090,115100
05/10/18,115090,115220,115040,115050
05/10/18,115050,115100,114930,114940
05/10/18,114940,115030,114880,115020
05/10/18,115020,115220,115010,115130
05/10/18,115130,115140,115000,115040
05/10/18,115030,115110,115000,115070
05/10/18,115050,115140,115020,115070
05/10/18,115070,115150,115050,115100
05/10/18,115090,115170,115080,115150
05/10/18,115170,115200,115130,115190
05/10/18,115170,115190,115080,115120
05/10/18,115110,115160,115100,115100
05/10/18,115090,115150,115080,115130
05/10/18,115130,115220,115110,115200
05/10/18,115200,115340,115180,115290
05/10/18,115290,115310,115230,115280
05/10/18,115280,115380,115270,115350
05/10/18,115350,115350,115260,115280
05/10/18,115290,115340,115290,115340
05/10/18,115340,115390,115300,115390
05/10/18,115380,115450,115360,115390
05/10/18,115400,115430,115340,115350
05/10/18,115360,115380,115310,115320
05/10/18,115340,115390,115310,115340
05/10/18,115350,115390,115330,115350
05/10/18,115360,115370,115330,115340
05/10/18,115330,115370,115310,115340
05/10/18,115320,115390,115320,115380
05/10/18,115380,115430,115380,115430
05/10/18,115430,115430,115310,115380
05/10/18,115370,115370,115310,115320
05/10/18,115310,115340,115280,115290
05/10/18,115290,115320,115260,115270
05/10/18,115280,115370,115280,115370
05/10/18,115360,115420,115350,115380
05/10/18,115360,115380,115280,115350
05/10/18,115360,115430,115340,115400
05/10/18,115400,115470,115400,115460
05/10/18,115450,115600,115450,115490
05/10/18,115470,115520,115400,115500
05/10/18,115510,115510,115470,115490
05/10/18,115470,115500,115440,115470
05/10/18,115480,115530,115480,115510
05/10/18,115500,115540,115490,115530
05/10/18,115540,115590,115440,115440
